study_experiment,variant_name,accuracy,macro_f1,balanced_accuracy,accept_rate,accepted_accuracy,reject_rate,false_reject_rate,false_accept_rate,update_count,wrong_update_rate,unknown_stream_fraction,initial_template_count,final_template_count
prevwork_csv_threshold_sweep,thr0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0,0.0,0.0,8,8
prevwork_csv_threshold_sweep,thr10,0.1953405017921147,0.27385507708682005,0.1956760784228717,0.367425189630741,0.531647005444646,0.632574810369259,0.632574810369259,0.0,0,0.0,0.0,8,8
prevwork_csv_threshold_sweep,thr12,0.34366925064599485,0.3825036150478211,0.3438730172476748,0.7772359756605818,0.4421684808836935,0.2227640243394182,0.2227640243394182,0.0,0,0.0,0.0,8,8
prevwork_csv_threshold_sweep,thr14,0.40293406685004585,0.40739141132640294,0.4026991185407256,0.977952821538718,0.41201789899850844,0.022047178461281985,0.022047178461281985,0.0,0,0.0,0.0,8,8
prevwork_csv_threshold_sweep,thr16,0.4108110360923564,0.41072325997409886,0.41042078161419226,0.9997916145703093,0.4108966609696111,0.00020838542969075602,0.00020838542969075602,0.0,0,0.0,0.0,8,8
prevwork_csv_threshold_sweep,thr18,0.41093606735017085,0.4108020823336969,0.4105429314513258,1.0,0.41093606735017085,0.0,0.0,0.0,0,0.0,0.0,8,8
prevwork_csv_threshold_sweep,thr2,4.16770859381512e-05,8.313934153641504e-05,4.1583499667332004e-05,4.16770859381512e-05,1.0,0.9999583229140618,0.9999583229140618,0.0,0,0.0,0.0,8,8
prevwork_csv_threshold_sweep,thr20,0.41093606735017085,0.4108020823336969,0.4105429314513258,1.0,0.41093606735017085,0.0,0.0,0.0,0,0.0,0.0,8,8
prevwork_csv_threshold_sweep,thr24,0.41093606735017085,0.4108020823336969,0.4105429314513258,1.0,0.41093606735017085,0.0,0.0,0.0,0,0.0,0.0,8,8
prevwork_csv_threshold_sweep,thr4,0.0011669584062682337,0.0023318913059089063,0.0011686956477267047,0.001250312578144536,0.9333333333333333,0.9987496874218554,0.9987496874218554,0.0,0,0.0,0.0,8,8
prevwork_csv_threshold_sweep,thr6,0.012128032008002,0.023695597486733205,0.01217677011351855,0.01487871967991998,0.8151260504201681,0.9851212803200801,0.9851212803200801,0.0,0,0.0,0.0,8,8
prevwork_csv_threshold_sweep,thr8,0.06484954571976327,0.11423001973547081,0.06503239617191153,0.09569058931399517,0.6777003484320557,0.9043094106860048,0.9043094106860048,0.0,0,0.0,0.0,8,8
prevwork_csv_update_compare,confidence_weighted,0.29457364341085274,0.2973391637457492,0.29432181391701284,1.0,0.29457364341085274,0.0,0.0,0.0,152,0.618421052631579,0.0,8,8
prevwork_csv_update_compare,cooldown,0.29690756022338916,0.2965146593726569,0.29673046541538295,1.0,0.29690756022338916,0.0,0.0,0.0,1303,0.7060629316960859,0.0,8,8
prevwork_csv_update_compare,counter,0.3172043010752688,0.31615707380344327,0.3169704583557418,1.0,0.3172043010752688,0.0,0.0,0.0,464,0.625,0.0,8,8
prevwork_csv_update_compare,dual_template,0.385054596982579,0.3837765444867395,0.38507213920283023,1.0,0.385054596982579,0.0,0.0,0.0,13,0.7692307692307693,0.0,8,8
prevwork_csv_update_compare,growing,0.41093606735017085,0.4108020823336969,0.4105429314513258,1.0,0.41093606735017085,0.0,0.0,0.0,0,0.0,0.0,8,8
prevwork_csv_update_compare,margin_ema,0.41093606735017085,0.4108020823336969,0.4105429314513258,1.0,0.41093606735017085,0.0,0.0,0.0,0,0.0,0.0,8,8
prevwork_csv_update_compare,probabilistic,0.19125614737017588,0.19327113143147645,0.19138270949174815,1.0,0.19125614737017588,0.0,0.0,0.0,10484,0.8118084700495994,0.0,8,8
prevwork_csv_update_compare,static,0.41093606735017085,0.4108020823336969,0.4105429314513258,1.0,0.41093606735017085,0.0,0.0,0.0,0,0.0,0.0,8,8
prevwork_csv_update_compare,top2_margin,0.18425439693256648,0.20481885908385078,0.18447861455789655,0.798783029090606,0.230668892831055,0.20121697090939403,0.20121697090939403,0.0,6959,0.7677827274033625,0.0,8,8
toy_recreated_random_threshold_sweep,thr0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0,0.0,0.0,8,8
toy_recreated_random_threshold_sweep,thr10,0.2106359923314162,0.2909554733539972,0.209371913219682,0.37917812786529964,0.5555067047702792,0.6208218721347003,0.6208218721347003,0.0,0,0.0,0.0,8,8
toy_recreated_random_threshold_sweep,thr12,0.36609152288072017,0.4035316657312944,0.3647540807943102,0.7828623822622323,0.4676320272572402,0.21713761773776777,0.21713761773776777,0.0,0,0.0,0.0,8,8
toy_recreated_random_threshold_sweep,thr14,0.42514795365508046,0.4271635005131369,0.424031056155701,0.9831207801950488,0.4324473271440078,0.01687921980495124,0.01687921980495124,0.0,0,0.0,0.0,8,8
toy_recreated_random_threshold_sweep,thr16,0.4324414436942569,0.4309885827107415,0.43133809566872905,0.9999166458281237,0.43247749249749917,8.33541718763024e-05,8.33541718763024e-05,0.0,0,0.0,0.0,8,8
toy_recreated_random_threshold_sweep,thr18,0.4325247978661332,0.4310523910602521,0.4314214567891025,1.0,0.4325247978661332,0.0,0.0,0.0,0,0.0,0.0,8,8
toy_recreated_random_threshold_sweep,thr2,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0,0.0,0.0,8,8
toy_recreated_random_threshold_sweep,thr20,0.4325247978661332,0.4310523910602521,0.4314214567891025,1.0,0.4325247978661332,0.0,0.0,0.0,0,0.0,0.0,8,8
toy_recreated_random_threshold_sweep,thr24,0.4325247978661332,0.4310523910602521,0.4314214567891025,1.0,0.4325247978661332,0.0,0.0,0.0,0,0.0,0.0,8,8
toy_recreated_random_threshold_sweep,thr4,0.001208635492206385,0.002378677552704912,0.001192870445260443,0.001250312578144536,0.9666666666666667,0.9987496874218554,0.9987496874218554,0.0,0,0.0,0.0,8,8
toy_recreated_random_threshold_sweep,thr6,0.01458698007835292,0.028012499455256114,0.014435863425233467,0.017087605234641992,0.8536585365853658,0.982912394765358,0.982912394765358,0.0,0,0.0,0.0,8,8
toy_recreated_random_threshold_sweep,thr8,0.0710594315245478,0.12261244796796204,0.07043733069131962,0.10160873551721264,0.699343724364233,0.8983912644827874,0.8983912644827874,0.0,0,0.0,0.0,8,8
toy_recreated_chronological_threshold_sweep,thr0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0,0.0,0.0,8,8
toy_recreated_chronological_threshold_sweep,thr10,0.20696840876885889,0.2873456664101071,0.20648930696072026,0.3700091689589064,0.5593602162649245,0.6299908310410937,0.6299908310410937,0.0,0,0.0,0.0,8,8
toy_recreated_chronological_threshold_sweep,thr12,0.35262982412269733,0.38796275753314036,0.35169184210394927,0.7718179544886221,0.4568821210648523,0.22818204551137786,0.22818204551137786,0.0,0,0.0,0.0,8,8
toy_recreated_chronological_threshold_sweep,thr14,0.4078936400766858,0.40815149714240095,0.406435547794068,0.9741185296324081,0.418731014418346,0.025881470367591898,0.025881470367591898,0.0,0,0.0,0.0,8,8
