fingerprint,count,frequency
00010000,473,0.07945573660339325
00011000,458,0.07693599865613976
00010001,436,0.07324038300016798
00011001,424,0.07122459264236519
00010101,424,0.07122459264236519
00011101,422,0.0708886275827314
00010100,377,0.06332941374097094
00011100,362,0.06080967579371745
00011010,350,0.05879388543591466
00011111,341,0.05728204266756257
00011011,326,0.05476230472030909
00010111,319,0.0535864270115908
00010011,316,0.053082479422140096
00010010,316,0.053082479422140096
00010110,309,0.051906601713421804
00011110,275,0.04619519569964724
10010000,7,0.0011758777087182933
00111000,3,0.0005039475894506972
00111001,3,0.0005039475894506972
00111101,2,0.0003359650596337981
10010101,2,0.0003359650596337981
01011001,1,0.00016798252981689904
00111100,1,0.00016798252981689904
01011101,1,0.00016798252981689904
10011001,1,0.00016798252981689904
10011101,1,0.00016798252981689904
01010101,1,0.00016798252981689904
01011100,1,0.00016798252981689904
01010001,1,0.00016798252981689904
