fingerprint,count,frequency
00000110,1719,0.2857380319148936
00000010,1619,0.2691156914893617
00000111,855,0.14212101063829788
00000011,670,0.11136968085106383
00001110,379,0.06299867021276596
00001010,341,0.05668218085106383
00001111,195,0.03241356382978723
00001011,161,0.026761968085106384
01000010,6,0.0009973404255319148
01000110,6,0.0009973404255319148
00000001,5,0.0008311170212765958
00100011,5,0.0008311170212765958
00101010,4,0.0006648936170212766
00000000,4,0.0006648936170212766
00100010,3,0.0004986702127659574
00001000,3,0.0004986702127659574
01000111,3,0.0004986702127659574
00011110,3,0.0004986702127659574
01001110,3,0.0004986702127659574
00100110,3,0.0004986702127659574
00010011,3,0.0004986702127659574
10000000,2,0.0003324468085106383
01111010,2,0.0003324468085106383
00110110,2,0.0003324468085106383
01000011,2,0.0003324468085106383
00000100,2,0.0003324468085106383
00110010,2,0.0003324468085106383
11000111,2,0.0003324468085106383
11001010,1,0.00016622340425531914
00000101,1,0.00016622340425531914
00010010,1,0.00016622340425531914
00011010,1,0.00016622340425531914
00001001,1,0.00016622340425531914
00001101,1,0.00016622340425531914
10000111,1,0.00016622340425531914
00100111,1,0.00016622340425531914
10000101,1,0.00016622340425531914
01100010,1,0.00016622340425531914
01100111,1,0.00016622340425531914
00111110,1,0.00016622340425531914
