fingerprint,count,frequency
00001001,1700,0.28566627457570154
00001000,1526,0.25642749117795327
00001101,1502,0.25239455553688456
00001100,1121,0.1883717022349185
00001011,24,0.004032935641068728
00001010,15,0.002520584775667955
00001111,10,0.0016803898504453034
01001001,9,0.001512350865400773
00001110,7,0.0011762728953117123
00101001,5,0.0008401949252226517
10001101,5,0.0008401949252226517
10001000,3,0.000504116955133591
00011101,3,0.000504116955133591
00011001,3,0.000504116955133591
00101000,2,0.0003360779700890607
00011000,2,0.0003360779700890607
01111000,2,0.0003360779700890607
01001000,2,0.0003360779700890607
01111101,1,0.00016803898504453034
10001100,1,0.00016803898504453034
01001111,1,0.00016803898504453034
01001101,1,0.00016803898504453034
00101101,1,0.00016803898504453034
00111001,1,0.00016803898504453034
00111101,1,0.00016803898504453034
11001101,1,0.00016803898504453034
00111100,1,0.00016803898504453034
00111000,1,0.00016803898504453034
