fingerprint,count,frequency
01111000,481,0.08074534161490683
01110000,480,0.08057747188181971
01111100,437,0.07335907335907337
01110100,409,0.06865872083263387
01111001,405,0.06798724190028538
01111101,369,0.0619439315091489
01111110,361,0.060600973644451904
01111111,360,0.060433103911364784
01110101,360,0.060433103911364784
01110001,338,0.056739969783448044
01110110,322,0.05405405405405406
01111010,317,0.05321470538861843
01110111,315,0.052878965922444184
01111011,312,0.05237535672318281
01110010,305,0.05120026859157294
01110011,275,0.04616417659895921
01010110,8,0.001342957864696995
01010100,7,0.0011750881316098707
01011101,6,0.0010072183985227463
01011010,6,0.0010072183985227463
01011100,6,0.0010072183985227463
01010111,6,0.0010072183985227463
01011000,6,0.0010072183985227463
01010000,6,0.0010072183985227463
01101110,4,0.0006714789323484975
01011110,4,0.0006714789323484975
01010001,4,0.0006714789323484975
01100010,3,0.0005036091992613732
01000110,3,0.0005036091992613732
01010011,3,0.0005036091992613732
01011111,3,0.0005036091992613732
01100111,3,0.0005036091992613732
01100000,2,0.00033573946617424877
01000100,2,0.00033573946617424877
01100011,2,0.00033573946617424877
01100101,2,0.00033573946617424877
01101011,2,0.00033573946617424877
11110100,2,0.00033573946617424877
01100100,2,0.00033573946617424877
11111101,2,0.00033573946617424877
01001011,2,0.00033573946617424877
11110101,2,0.00033573946617424877
01001110,1,0.00016786973308712439
01100110,1,0.00016786973308712439
01011011,1,0.00016786973308712439
01000011,1,0.00016786973308712439
11111100,1,0.00016786973308712439
01101100,1,0.00016786973308712439
01010101,1,0.00016786973308712439
11110000,1,0.00016786973308712439
01000000,1,0.00016786973308712439
01101101,1,0.00016786973308712439
01010010,1,0.00016786973308712439
01101010,1,0.00016786973308712439
01001010,1,0.00016786973308712439
