fingerprint,count,frequency
00000101,2177,0.3612078977932636
00000001,1929,0.320059731209557
00000000,987,0.16376306620209058
00000100,869,0.1441845030695205
10000000,7,0.0011614401858304297
00100001,5,0.0008296001327360213
00100000,5,0.0008296001327360213
00100101,4,0.000663680106188817
00000011,4,0.000663680106188817
00010001,3,0.0004977600796416127
01110001,3,0.0004977600796416127
00010101,2,0.0003318400530944085
00001101,2,0.0003318400530944085
10000101,2,0.0003318400530944085
00001001,2,0.0003318400530944085
00110001,2,0.0003318400530944085
01000001,2,0.0003318400530944085
10000100,2,0.0003318400530944085
01000000,2,0.0003318400530944085
00000111,2,0.0003318400530944085
10010000,1,0.00016592002654720425
00010100,1,0.00016592002654720425
01110100,1,0.00016592002654720425
01000101,1,0.00016592002654720425
00001100,1,0.00016592002654720425
00110000,1,0.00016592002654720425
01100001,1,0.00016592002654720425
01100000,1,0.00016592002654720425
01000100,1,0.00016592002654720425
01010101,1,0.00016592002654720425
00010000,1,0.00016592002654720425
01110101,1,0.00016592002654720425
01100101,1,0.00016592002654720425
10100101,1,0.00016592002654720425
00110100,1,0.00016592002654720425
01010001,1,0.00016592002654720425
