fingerprint,count,frequency
11111011,180,0.029513034923757994
11111111,170,0.027873421872438103
11111001,165,0.02705361534677816
11110111,152,0.024922118380062305
11111010,148,0.02426627315953435
11110010,142,0.023282505328742417
11111101,139,0.02279062141334645
11110101,137,0.022462698803082472
11110011,132,0.02164289227742253
11111000,132,0.02164289227742253
11110110,128,0.020987047056894574
11110000,125,0.020495163141498605
11110001,121,0.019839317920970653
11111100,116,0.019019511395310707
11110100,115,0.018855550090178717
11111110,112,0.01836366617478275
11011011,110,0.018035743564518772
11011111,88,0.01442859485161502
11010111,86,0.014100672241351041
11011101,83,0.013608788325955074
11011000,83,0.013608788325955074
11011010,82,0.013444827020823086
11010011,81,0.013280865715691098
11010101,78,0.01278898180029513
11011100,77,0.012625020495163142
11011001,75,0.012297097884899164
11010000,68,0.011149368748975241
11010010,68,0.011149368748975241
11011110,67,0.010985407443843253
11101011,64,0.010493523528447287
11101111,63,0.010329562223315297
11100000,62,0.01016560091818331
10111011,58,0.009509755697655354
11010110,57,0.009345794392523364
10111111,56,0.009181833087391376
11010100,56,0.009181833087391376
11010001,56,0.009181833087391376
11101010,53,0.00868994917199541
10110011,52,0.00852598786686342
11101000,52,0.00852598786686342
10110010,51,0.008362026561731432
11101001,51,0.008362026561731432
11101110,50,0.008198065256599442
11100001,50,0.008198065256599442
11101101,50,0.008198065256599442
11100110,49,0.008034103951467454
10111001,48,0.007870142646335464
10110101,47,0.007706181341203476
11001111,47,0.007706181341203476
10111000,45,0.0073782587309394985
11001010,44,0.00721429742580751
11100101,43,0.007050336120675521
10110001,43,0.007050336120675521
11101100,43,0.007050336120675521
11100111,43,0.007050336120675521
11100100,43,0.007050336120675521
11100011,42,0.006886374815543532
11100010,42,0.006886374815543532
10110111,40,0.006558452205279554
10111101,40,0.006558452205279554
10111010,39,0.006394490900147565
10111110,38,0.006230529595015576
10111100,37,0.006066568289883587
10110000,36,0.005902606984751598
11000001,33,0.0054107230693556324
11001000,33,0.0054107230693556324
11001001,32,0.0052467617642236435
11001110,32,0.0052467617642236435
11001011,32,0.0052467617642236435
10011111,29,0.004754877848827677
11000111,29,0.004754877848827677
11000000,29,0.004754877848827677
10110110,29,0.004754877848827677
10010010,28,0.004590916543695688
10110100,27,0.004426955238563699
11001101,26,0.00426299393343171
10010111,26,0.00426299393343171
10010001,25,0.004099032628299721
10011011,25,0.004099032628299721
11001100,24,0.003935071323167732
11000011,24,0.003935071323167732
10011010,24,0.003935071323167732
10011100,23,0.0037711100180357437
10011101,22,0.003607148712903755
10101111,22,0.003607148712903755
11000010,21,0.003443187407771766
11000110,21,0.003443187407771766
10011001,21,0.003443187407771766
11000100,21,0.003443187407771766
10011000,20,0.003279226102639777
10010101,20,0.003279226102639777
10011110,20,0.003279226102639777
10101000,18,0.002951303492375799
11000101,18,0.002951303492375799
10010011,17,0.0027873421872438102
10010000,17,0.0027873421872438102
10010100,17,0.0027873421872438102
10101011,17,0.0027873421872438102
10001011,16,0.0026233808821118218
10101001,16,0.0026233808821118218
10100101,16,0.0026233808821118218
10010110,15,0.002459419576979833
10000010,14,0.002295458271847844
10101110,14,0.002295458271847844
10100010,14,0.002295458271847844
10100110,13,0.002131496966715855
10100001,13,0.002131496966715855
10100011,13,0.002131496966715855
10100000,13,0.002131496966715855
10101010,12,0.001967535661583866
10100111,12,0.001967535661583866
10001110,12,0.001967535661583866
10001010,12,0.001967535661583866
10001001,11,0.0018035743564518774
10000101,11,0.0018035743564518774
10100100,10,0.0016396130513198885
10000011,9,0.0014756517461878996
10101100,9,0.0014756517461878996
10001111,8,0.0013116904410559109
10000110,8,0.0013116904410559109
10000000,8,0.0013116904410559109
10101101,8,0.0013116904410559109
10000001,7,0.001147729135923922
10001101,7,0.001147729135923922
10001000,7,0.001147729135923922
10001100,7,0.001147729135923922
10000111,7,0.001147729135923922
10000100,5,0.0008198065256599442
