study_experiment,variant_name,accuracy,macro_f1,balanced_accuracy,accept_rate,accepted_accuracy,reject_rate,false_reject_rate,false_accept_rate,update_count,wrong_update_rate,initial_template_count,final_template_count,unknown_stream_fraction
threshold_easy_stable,thr10,0.25456053067993367,0.35684982580584385,0.25521394973527406,0.36318407960199006,0.7009132420091324,0.6368159203980099,0.6368159203980099,0.0,0,0.0,8,8,0.0
threshold_easy_stable,thr12,0.42205638474295193,0.46496624289936417,0.42016814003202946,0.7504145936981758,0.5624309392265193,0.24958540630182421,0.24958540630182421,0.0,0,0.0,8,8,0.0
threshold_easy_stable,thr14,0.49336650082918737,0.4888514326658886,0.49068937937586593,0.9792703150912107,0.5038103302286198,0.020729684908789386,0.020729684908789386,0.0,0,0.0,8,8,0.0
threshold_easy_stable,thr16,0.5,0.4912135008811717,0.4971983932713602,1.0,0.5,0.0,0.0,0.0,0,0.0,8,8,0.0
threshold_easy_stable,thr18,0.5,0.4912135008811717,0.4971983932713602,1.0,0.5,0.0,0.0,0.0,0,0.0,8,8,0.0
threshold_easy_stable,thr20,0.5,0.4912135008811717,0.4971983932713602,1.0,0.5,0.0,0.0,0.0,0,0.0,8,8,0.0
threshold_easy_stable,thr24,0.5,0.4912135008811717,0.4971983932713602,1.0,0.5,0.0,0.0,0.0,0,0.0,8,8,0.0
threshold_easy_stable,thr4,0.0041459369817578775,0.008175839140508019,0.004134939672007014,0.0041459369817578775,1.0,0.9958540630182421,0.9958540630182421,0.0,0,0.0,8,8,0.0
threshold_easy_stable,thr6,0.015754560530679935,0.030798286522924205,0.015893743959280823,0.019071310116086235,0.8260869565217391,0.9809286898839138,0.9809286898839138,0.0,0,0.0,8,8,0.0
threshold_easy_stable,thr8,0.08706467661691543,0.15304819914680312,0.08746968644288611,0.10613598673300166,0.8203125,0.8938640132669984,0.8938640132669984,0.0,0,0.0,8,8,0.0
threshold_dense_stable,thr10,0.43205574912891986,0.49804806833485676,0.42650272080245033,0.6537456445993032,0.6608927381745503,0.3462543554006969,0.3462543554006969,0.0,0,0.0,12,12,0.0
threshold_dense_stable,thr12,0.5335365853658537,0.5448663221769917,0.5287685857880297,0.9285714285714286,0.5745778611632271,0.07142857142857142,0.07142857142857142,0.0,0,0.0,12,12,0.0
threshold_dense_stable,thr14,0.5509581881533101,0.5485103142979675,0.5470228557358252,0.9956445993031359,0.5533683289588801,0.004355400696864111,0.004355400696864111,0.0,0,0.0,12,12,0.0
threshold_dense_stable,thr16,0.5513937282229965,0.5478995968131544,0.5474884050840562,1.0,0.5513937282229965,0.0,0.0,0.0,0,0.0,12,12,0.0
threshold_dense_stable,thr18,0.5513937282229965,0.5478995968131544,0.5474884050840562,1.0,0.5513937282229965,0.0,0.0,0.0,0,0.0,12,12,0.0
threshold_dense_stable,thr20,0.5513937282229965,0.5478995968131544,0.5474884050840562,1.0,0.5513937282229965,0.0,0.0,0.0,0,0.0,12,12,0.0
threshold_dense_stable,thr24,0.5513937282229965,0.5478995968131544,0.5474884050840562,1.0,0.5513937282229965,0.0,0.0,0.0,0,0.0,12,12,0.0
threshold_dense_stable,thr4,0.01088850174216028,0.021128797501886523,0.010897153599792042,0.011759581881533102,0.9259259259259259,0.9882404181184669,0.9882404181184669,0.0,0,0.0,12,12,0.0
threshold_dense_stable,thr6,0.06707317073170732,0.11598701720205733,0.06611910587033108,0.07534843205574913,0.8901734104046243,0.9246515679442509,0.9246515679442509,0.0,0,0.0,12,12,0.0
threshold_dense_stable,thr8,0.2260452961672474,0.32658766013650503,0.2234228778859868,0.28222996515679444,0.8009259259259259,0.7177700348432056,0.7177700348432056,0.0,0,0.0,12,12,0.0
threshold_drift_closed,thr10,0.30127922364358184,0.37562667479081263,0.29945841251259586,0.5430083811204235,0.5548334687246141,0.4569916188795765,0.4569916188795765,0.0,0,0.0,12,12,0.0
threshold_drift_closed,thr12,0.4283193647992942,0.4555541645650625,0.427226472806926,0.8681076312307013,0.49339430894308944,0.13189236876929863,0.13189236876929863,0.0,0,0.0,12,12,0.0
threshold_drift_closed,thr14,0.46801940891045435,0.4694351479662555,0.4666709713738677,0.9942655491839435,0.4707187222715173,0.005734450816056462,0.005734450816056462,0.0,0,0.0,12,12,0.0
threshold_drift_closed,thr16,0.46846052051168946,0.46868290596283396,0.4671263447800608,1.0,0.46846052051168946,0.0,0.0,0.0,0,0.0,12,12,0.0
threshold_drift_closed,thr18,0.46846052051168946,0.46868290596283396,0.4671263447800608,1.0,0.46846052051168946,0.0,0.0,0.0,0,0.0,12,12,0.0
